,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
53,2.0,3.0,3.0,3.0,4.0,2.0,4.0,3.0,4.0,4.0,3.0,3.0,5.0,2.0,3.0,4.0,3.0,4.0,2.0,4.0
54,3.0,4.0,4.0,2.0,2.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0
55,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0
56,4.0,4.0,5.0,4.0,3.0,4.0,4.0,3.0,3.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0
57,3.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,4.0,3.0,3.0
58,5.0,5.0,5.0,4.0,2.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,2.0,5.0,4.0,5.0,4.0,4.0,5.0
59,3.0,1.0,5.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0
60,5.0,5.0,2.0,3.0,5.0,5.0,3.0,2.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
61,5.0,5.0,5.0,1.0,3.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0
62,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0
63,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0
64,1.0,2.0,4.0,3.0,1.0,4.0,4.0,2.0,3.0,3.0,3.0,4.0,2.0,5.0,3.0,2.0,2.0,1.0,2.0,3.0
65,4.0,2.0,4.0,2.0,2.0,4.0,4.0,2.0,4.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0
66,4.0,2.0,2.0,4.0,1.0,4.0,4.0,4.0,5.0,1.0,2.0,1.0,3.0,1.0,5.0,3.0,2.0,1.0,1.0,1.0
67,3.0,3.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,2.0,3.0,5.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0
68,4.0,4.0,4.0,3.0,2.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,2.0,4.0,4.0
69,4.0,4.0,5.0,4.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0
70,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
71,4.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,1.0,4.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0
72,5.0,5.0,3.0,5.0,1.0,4.0,5.0,5.0,4.0,5.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0,5.0,5.0,4.0
73,4.0,5.0,4.0,3.0,4.0,3.0,5.0,4.0,2.0,3.0,2.0,4.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,5.0
74,5.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0
75,4.0,3.0,3.0,3.0,2.0,5.0,4.0,3.0,4.0,2.0,3.0,3.0,4.0,2.0,3.0,4.0,3.0,1.0,2.0,2.0
76,4.0,4.0,5.0,3.0,1.0,1.0,4.0,4.0,3.0,5.0,1.0,2.0,1.0,1.0,4.0,3.0,3.0,1.0,4.0,2.0
77,5.0,5.0,4.0,4.0,1.0,4.0,4.0,4.0,2.0,5.0,3.0,3.0,4.0,2.0,4.0,5.0,4.0,2.0,4.0,2.0
78,4.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,4.0,3.0,2.0,4.0,3.0
79,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0
80,5.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,3.0
81,4.0,4.0,5.0,4.0,2.0,2.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
82,3.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0
83,4.0,4.0,4.0,3.0,1.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0
84,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,1.0,2.0,3.0,1.0,3.0,2.0,1.0,3.0,2.0,3.0
85,5.0,4.0,5.0,3.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,3.0,4.0,5.0,4.0,5.0,5.0,3.0
86,4.0,5.0,5.0,5.0,2.0,4.0,5.0,4.0,4.0,2.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,5.0
87,5.0,2.0,4.0,2.0,2.0,5.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,2.0,3.0,4.0,3.0
88,5.0,4.0,4.0,1.0,5.0,5.0,3.0,1.0,5.0,5.0,4.0,4.0,4.0,5.0,2.0,5.0,4.0,4.0,4.0,4.0
89,5.0,5.0,3.0,4.0,2.0,4.0,4.0,4.0,5.0,4.0,3.0,1.0,4.0,2.0,4.0,4.0,5.0,3.0,4.0,3.0
90,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0
91,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,2.0,4.0,4.0
92,4.0,4.0,4.0,4.0,3.0,4.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,4.0,4.0
93,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
94,3.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0
95,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
96,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0
97,5.0,1.0,4.0,4.0,1.0,5.0,4.0,4.0,1.0,4.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0
98,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
99,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0
100,4.0,2.0,4.0,2.0,2.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
101,4.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0
102,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,2.0,4.0,2.0,2.0,2.0,1.0,5.0,4.0,5.0,2.0,5.0,5.0
103,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0
104,4.0,4.0,3.0,2.0,2.0,4.0,3.0,1.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
105,3.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
106,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
107,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
108,4.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0
109,3.0,2.0,4.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0
110,4.0,5.0,4.0,4.0,2.0,4.0,5.0,4.0,4.0,3.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0
111,5.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,2.0,4.0,2.0,3.0,4.0,3.0,3.0,4.0,4.0,2.0,3.0,2.0
112,4.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0
113,3.0,3.0,4.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0
114,4.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,2.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0
115,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0
116,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
117,3.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,3.0,4.0,5.0,4.0,3.0,5.0,5.0
